title,author,journal,year,cites,pubid
Testing the advantages and disadvantages of short-and long-read eukaryotic metagenomics using simulated reads,"WS Pearman, NE Freed, OK Silander",BMC Bioinformatics,2020,154,9yKSN-GCB0IC
Commonly used Hardy–Weinberg equilibrium filtering schemes impact population structure inferences using RADseq data,"WS Pearman, L Urban, A Alexander",Molecular Ecology Resources,2022,117,W7OEmFMy1HYC
"Southern Hemisphere coasts are biologically connected by frequent, long-distance rafting events","CI Fraser, L Dutoit, AK Morrison, LM Pardo, SDA Smith, WS Pearman, ...",Current Biology,2022,49,Y0pCki6q_DkC
"MARES, a replicable pipeline and curated reference database for marine eukaryote metabarcoding","V Arranz, WS Pearman, JD Aguirre, L Liggins",Scientific Data,2020,49,2osOgNQ5qMEC
Macroalgal microbiome biogeography is shaped by environmental drivers rather than geographic distance,"WS Pearman, GA Duffy, XP Liu, NJ Gemmell, SE Morales, CI Fraser","Annals of Botany, mcad",2023,20,ufrVoPGSRksC
Meta‐analysis of Antarctic phylogeography reveals strong sampling bias and critical knowledge gaps,"XP Liu, GA Duffy, WS Pearman, LR Pertierra, CI Fraser","Ecography, e",2022,16,eQOLeE2rZwMC
A cry for kelp: Evidence for polyphenolic inhibition of Oxford Nanopore sequencing of brown algae,"WS Pearman, V Arranz, JI Carvajal, A Whibley, Y Liau, K Johnson, R Gray, ...",Journal of phycology,2024,14,0EnyYjriUFMC
Concordant geographic and genetic structure revealed by genotyping‐by‐sequencing in a New Zealand marine isopod,"WS Pearman, SJ Wells, OK Silander, NE Freed, J Dale",Ecology and Evolution,2020,13,UeHWp8X0CEIC
Host dispersal relaxes selective pressures in rafting microbiomes and triggers successional changes,"WS Pearman, GA Duffy, RO Smith, KI Currie, NJ Gemmell, SE Morales, ...",Nature Communications,2024,7,MXK_kJrjxJIC
The future of molecular ecology in Aotearoa New Zealand: an early career perspective,"L Liggins, V Arranz, HE Braid, D Carmelet-Rescan, J Elleouet, E Egorova, ...",Journal of the Royal Society of New Zealand,2022,7,YsMSGLbcyi4C
"Marine phytoplankton impose strong selective pressures on in vitro microbiome assembly, but drift is the dominant process","SE Morales, SP Tobias-Hünefeldt, E Armstrong, WS Pearman, ...","ISME Communications, ycaf",2025,6,3fE2CSJIrl8C
Host population crashes disrupt the diversity of associated marine microbiomes,"WS Pearman, SE Morales, F Vaux, NJ Gemmell, CI Fraser",Environmental Microbiology,2024,6,LkGwnXOMwfcC
Long-read sequencing reveals atypical mitochondrial genome structure in a New Zealand marine isopod,"WS Pearman, SJ Wells, J Dale, OK Silander, NE Freed",Royal Society Open Science,2022,6,zYLM7Y9cAGgC
"Targeted Airborne e DNA of an Invasive Wallaby: Effects of Sampler Type, Distance, and Environmental Conditions","GC Kroos, K Fernandes, P Seddon, T Ashcroft, WS Pearman, NJ Gemmell",Environmental DNA,2026,3,ULOm3_A8WrAC
Recovering Historical eDNA From Museum‐Preserved Filter Feeders via Non‐Destructive Metabarcoding,"GJ Jeunen, S Mills, M Bailie, Q Mauvisseau, M Lamare, S Mariani, ...",Molecular Ecology Resources,2026,2,4TOpqqG69KYC
Long-distance movement dynamics shape host microbiome richness and turnover,"WS Pearman, GA Duffy, NJ Gemmell, SE Morales, CI Fraser","FEMS Microbiology Ecology, fiae",2024,2,UebtZRa9Y70C
Population Genetics and Invasion History of the European Starling Across Aotearoa New Zealand,"B Thompson, K Atsawawaranunt, MC Nehmens, WS Pearman, ...","Molecular Ecology, e",2024,2,8k81kl-MbHgC
The adaptive and biogeographic significance of the microbiome of southern bull kelp (Durvillaea),WS Pearman,University of Otago,2023,2,_FxGoFyzp5QC
Within-host microbial selection and multiple microbial generations buffer the loss of host fitness under environmental change,"WS Pearman, AG Rodrigo, AW Santure","FEMS Microbiology Ecology, fiaf",2025,1,KlAtU1dfN6UC
Fine-scale phylogenetic diversity gradients support the Antarctic geothermal refugia hypothesis,"WS Pearman, CIM Adams, M Monteiro, A Quesada, CI Fraser",Antarctic Science,2024,1,Se3iqnhoufwC
"Bones, barcodes, and biodiversity: Optimising bulk bone metabarcoding analysis for tropical subfossil collections from Polynesia","P Pillay, N dos Remedios, WS Pearman, AW Santure, MS Allen",Quaternary International,2026,0,Zph67rFs4hoC
DNA isolation from Daphnia ephippia,W Pearman,,2026,0,YOwf2qJgpHMC
Contrasting patterns of population structure in two habitat‐forming kelp species in southeastern Australia,"FJ Ryder, WS Pearman, C Layton, E Parvizi, C Johnson, A Bellgrove, ...",Journal of Phycology,2026,0,_kc_bZDykSQC
The molecular ecology of an understudied endemic marine isopod-Isocladus armatus: a thesis presented in partial fulfilment of the requirements for the degree of Master of …,WS Pearman,Massey University,2019,0,qjMakFHDy7sC
